STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,HLY-CLDH-NORMAL,Completeness Flag,HLY-HTDH-NORMAL,Completeness Flag,HLY-PRES-10PCTL,Completeness Flag,HLY-PRES-90PCTL,Completeness Flag,HLY-PRES-NORMAL,Completeness Flag,HLY-CLOD-PCTBKN,Completeness Flag,HLY-CLOD-PCTCLR,Completeness Flag,HLY-CLOD-PCTFEW,Completeness Flag,HLY-CLOD-PCTOVC,Completeness Flag,HLY-CLOD-PCTSCT,Completeness Flag,HLY-DEWP-10PCTL,Completeness Flag,HLY-DEWP-90PCTL,Completeness Flag,HLY-DEWP-NORMAL,Completeness Flag,HLY-HIDX-NORMAL,Completeness Flag,HLY-TEMP-10PCTL,Completeness Flag,HLY-TEMP-90PCTL,Completeness Flag,HLY-TEMP-NORMAL,Completeness Flag,HLY-WCHL-NORMAL,Completeness Flag,HLY-WIND-1STDIR,Completeness Flag,HLY-WIND-1STPCT,Completeness Flag,HLY-WIND-2NDDIR,Completeness Flag,HLY-WIND-2NDPCT,Completeness Flag,HLY-WIND-AVGSPD,Completeness Flag,HLY-WIND-PCTCLM,Completeness Flag,HLY-WIND-VCTDIR,Completeness Flag,HLY-WIND-VCTSPD,Completeness Flag
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT,29.6,33.93806,-118.38889,20100101 00:00,9999, ,108,C,10140,C,10240,C,10190,C,166,C,339,C,133,C,258,C,103,C,241,C,538,C,412,C,542,C,489,C,590,C,542,C,538,C,3,C,324,C,2,C,177,C,56,C,105,C,56,C,23,C
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT,29.6,33.93806,-118.38889,20100101 01:00,9999, ,118,C,10136,C,10239,C,10188,C,175,C,327,C,145,C,241,C,111,C,241,C,531,C,407,C,533,C,482,C,579,C,533,C,528,C,3,C,271,C,2,C,220,C,56,C,124,C,53,C,24,C
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT,29.6,33.93806,-118.38889,20100101 02:00,9999, ,127,C,10137,C,10239,C,10188,C,212,C,328,C,146,C,232,C,82,C,241,C,531,C,402,C,523,C,469,C,579,C,523,C,516,C,3,C,331,C,2,C,247,C,51,C,118,C,54,C,27,C
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT,29.6,33.93806,-118.38889,20100101 03:00,9999, ,135,C,10135,C,10239,C,10188,C,179,C,338,C,152,C,232,C,99,C,241,C,531,C,398,C,515,C,460,C,570,C,515,C,506,C,3,C,289,C,2,C,214,C,49,C,157,C,54,C,25,C
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT,29.6,33.93806,-118.38889,20100101 04:00,9999, ,142,C,10130,C,10237,C,10185,C,159,C,353,C,132,C,245,C,111,C,241,C,531,C,396,C,508,C,450,C,570,C,508,C,499,C,3,C,342,C,2,C,219,C,49,C,168,C,61,C,27,C
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT,29.6,33.93806,-118.38889,20100101 05:00,9999, ,146,C,10130,C,10237,C,10185,C,169,C,341,C,130,C,256,C,103,C,230,C,531,C,390,C,504,C,446,C,559,C,504,C,494,C,3,C,359,C,2,C,212,C,49,C,152,C,66,C,28,C
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT,29.6,33.93806,-118.38889,20100101 06:00,9999, ,148,C,10130,C,10239,C,10188,C,165,C,334,C,138,C,257,C,106,C,230,C,520,C,388,C,502,C,441,C,570,C,502,C,492,C,3,C,386,C,2,C,176,C,49,C,164,C,67,C,29,C
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT,29.6,33.93806,-118.38889,20100101 07:00,9999, ,144,C,10135,C,10242,C,10192,C,233,C,201,C,154,C,249,C,163,C,212,C,520,C,383,C,506,C,446,C,570,C,506,C,494,C,3,C,377,C,2,C,201,C,55,C,120,C,69,C,33,C
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT,29.6,33.93806,-118.38889,20100101 08:00,9999, ,128,C,10139,C,10247,C,10196,C,264,C,189,C,128,C,277,C,142,C,219,C,525,C,384,C,522,C,464,C,579,C,522,C,513,C,3,C,405,C,2,C,183,C,57,C,104,C,70,C,36,C
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT,29.6,33.93806,-118.38889,20100101 09:00,1,C,98,C,10146,C,10253,C,10201,C,266,C,203,C,131,C,250,C,151,C,230,C,531,C,389,C,553,C,500,C,610,C,553,C,549,C,3,C,342,C,2,C,227,C,62,C,86,C,74,C,37,C
GHCND:USW00023174,LOS ANGELES INTERNATIONAL AIRPORT,29.6,33.93806,-118.38889,20100101 10:00,4,C,68,C,10151,C,10256,C,10205,C,241,C,190,C,174,C,268,C,126,C,230,C,531,C,390,C,586,C,520,C,660,C,586,C,584,C,3,C,309,C,2,C,207,C,64,C,86,C,75,C,32,C
